contact_id,first name,last name,email,cf_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,sub-category_id
4661,Cecilia,Velasco,cecilia.velasco@rodrigues.fr,147,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0.0,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
3765,Mariana,Ellis,mariana.ellis@rossi.org,1621,Odom Inc,Managed bottom-line architecture,1400.0,14560.0,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
4187,Sofie,Woods,sofie.woods@riviere.com,1812,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400.0,142523.0,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat3,subcat3
4941,Jeanette,Iannotti,jeanette.iannotti@yahoo.com,2156,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2477.0,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
2199,Samuel,Sorgatz,samuel.sorgatz@gmail.com,1365,Larson-Little,Proactive foreground core,7600.0,5265.0,failed,53,US,USD,2020-12-21,2021-08-23,cat4,subcat4
5650,Socorro,Luna,socorro.luna@hotmail.com,2057,Harris Group,Open-source optimizing database,7600.0,13195.0,successful,174,DK,DKK,2020-12-11,2021-08-29,cat4,subcat4
5889,Carolina,Murray,carolina.murray@knight.com,1894,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200.0,1090.0,failed,18,GB,GBP,2020-07-31,2021-05-11,cat5,subcat5
4842,Kayla,Moon,kayla.moon@yahoo.de,2669,Carter-Guzman,Centralized cohesive challenge,4500.0,14741.0,successful,227,DK,DKK,2020-12-22,2021-09-21,cat4,subcat4
3280,Ariadna,Geisel,ariadna.geisel@rangel.com,1114,Nunez-Richards,Exclusive attitude-oriented intranet,110100.0,21946.0,live,708,DK,DKK,2020-04-08,2021-03-10,cat4,subcat4
5468,Danielle,Ladeck,danielle.ladeck@scalfaro.net,970,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208.0,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
3064,Tatiana,Thompson,tatiana.thompson@hunt.net,2340,Green Ltd,Monitored empowering installation,5200.0,13838.0,successful,220,US,USD,2020-07-11,2021-08-02,cat5,subcat7
4904,Caleb,Benavides,caleb.benavides@rubio.com,601,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300.0,3030.0,failed,27,US,USD,2020-08-11,2021-06-26,cat4,subcat4
1299,Sandra,Hardy,sandra.hardy@web.de,1950,Kim Ltd,Assimilated hybrid intranet,6300.0,5629.0,failed,55,US,USD,2020-11-14,2021-04-09,cat5,subcat7
